timestamp,accelX,accelY,accelZ,gravX,gravY,gravZ,angVelX,angVelY,angVelZ,pitch,roll,heading,w,x,y,z,temprature,sysCal,gyroCal,accelCal,magCal
1349,978,4,-90,0,0,0,-21,-58,-34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,0,3,3,3
1379,991,-5,-95,3,-1,980,-53,-53,-81,-0.06,0.19,0.19,1.00,-0.00,-0.00,-0.00,11,0,3,3,3
1406,988,13,-98,3,-2,980,-27,40,-32,-0.13,0.13,0.25,1.00,-0.00,-0.00,-0.00,11,0,3,3,3
1438,949,10,-78,976,6,-85,-29,18,-24,179.63,84.94,90.56,0.68,0.00,-0.74,-0.00,11,0,3,3,3
1466,954,0,-80,976,6,-86,-40,-14,-32,179.56,84.88,90.69,0.68,0.00,-0.74,-0.00,11,0,3,3,3
1494,965,9,-90,976,8,-86,-23,-5,-37,179.50,84.88,90.75,0.68,0.00,-0.74,-0.00,11,0,3,3,3
1522,943,10,-61,976,9,-85,-39,28,-38,179.44,84.94,90.88,0.68,0.00,-0.74,-0.01,11,0,3,3,3
1551,956,-1,-52,976,9,-85,-26,0,-1,179.38,84.94,91.00,0.68,0.00,-0.74,-0.01,11,0,3,3,3
1579,969,3,-63,976,9,-85,-13,-28,-11,179.38,84.94,91.00,0.68,0.00,-0.74,-0.01,11,0,3,3,3
1609,988,0,-78,976,10,-86,-10,9,-23,179.38,84.88,91.06,0.68,0.00,-0.74,-0.01,11,0,3,3,3
1637,961,12,-79,976,10,-85,0,62,-28,179.31,85.00,91.13,0.68,0.00,-0.74,-0.01,11,0,3,3,3
1666,945,16,-68,977,11,-83,-11,46,-41,179.25,85.06,91.19,0.68,0.00,-0.74,-0.01,11,0,3,3,3
1692,954,19,-77,977,13,-82,-2,45,-36,179.19,85.13,91.25,0.68,0.00,-0.74,-0.01,11,0,3,3,3
1721,941,17,-70,977,14,-80,-9,44,-36,179.13,85.19,91.31,0.68,0.00,-0.74,-0.01,11,0,3,3,3
1747,957,19,-75,977,15,-79,-20,56,-85,179.00,85.25,91.44,0.68,0.00,-0.74,-0.01,11,0,3,3,3
1779,945,23,-64,977,18,-77,-20,79,-110,178.81,85.31,91.69,0.68,0.00,-0.73,-0.01,11,0,3,3,3
1806,943,19,-57,977,22,-75,-39,42,-113,178.63,85.38,91.88,0.68,0.00,-0.73,-0.01,11,0,3,3,3
1836,968,24,-67,977,24,-74,-8,36,-56,178.50,85.38,92.06,0.68,0.01,-0.73,-0.01,11,0,3,3,3
1863,949,18,-63,977,26,-72,-8,55,-36,178.44,85.44,92.13,0.68,0.01,-0.73,-0.01,11,0,3,3,3
1890,949,38,-68,977,27,-71,-8,70,-56,178.38,85.50,92.25,0.68,0.01,-0.73,-0.01,11,0,3,3,3
1920,950,22,-59,977,29,-69,-55,54,-96,178.19,85.56,92.50,0.68,0.01,-0.73,-0.01,11,0,3,3,3
1946,967,29,-64,977,32,-67,-32,31,-96,178.06,85.56,92.63,0.68,0.01,-0.73,-0.02,11,0,3,3,3
1975,954,38,-59,977,37,-66,-56,60,-156,177.81,85.50,93.00,0.68,0.01,-0.73,-0.02,11,0,3,3,3
2002,945,45,-64,977,41,-63,-61,69,-128,177.56,85.50,93.38,0.68,0.01,-0.73,-0.02,11,0,3,3,3
2029,960,41,-56,977,44,-62,-58,59,-119,177.38,85.50,93.56,0.68,0.01,-0.73,-0.02,11,0,3,3,3
2057,965,45,-53,977,48,-60,-72,64,-143,177.13,85.44,93.94,0.68,0.01,-0.73,-0.02,11,0,3,3,3
2088,949,55,-45,977,53,-57,-55,95,-136,176.88,85.38,94.31,0.69,0.01,-0.73,-0.03,11,0,3,3,3
2116,992,61,-61,977,57,-55,-61,56,-135,176.63,85.31,94.63,0.69,0.01,-0.73,-0.03,11,0,3,3,3
2143,1005,69,-73,977,64,-52,-99,133,-277,176.25,85.13,95.19,0.69,0.01,-0.73,-0.03,11,0,3,3,3
2170,964,98,-50,976,70,-48,-127,199,-296,175.69,84.94,95.94,0.69,0.02,-0.72,-0.04,11,0,3,3,3
2198,951,59,-16,976,77,-42,-132,175,-178,175.44,84.81,96.31,0.69,0.02,-0.72,-0.04,11,0,3,3,3
2231,963,76,-24,976,81,-37,-64,146,-107,175.19,84.75,96.69,0.69,0.02,-0.72,-0.04,11,0,3,3,3
2257,914,100,-9,976,84,-32,-88,84,-112,175.06,84.69,97.00,0.69,0.02,-0.72,-0.04,11,0,3,3,3
2287,934,84,-12,976,89,-31,-107,39,-159,174.75,84.44,97.50,0.69,0.02,-0.72,-0.05,11,0,3,3,3
2316,940,79,-5,975,92,-29,-59,62,-78,174.56,84.31,97.81,0.69,0.02,-0.72,-0.05,11,0,3,3,3
2342,911,88,11,975,93,-27,-30,39,-32,174.50,84.25,97.94,0.70,0.02,-0.72,-0.05,11,0,3,3,3
2369,909,93,4,975,94,-26,-24,-22,-38,174.44,84.19,98.00,0.70,0.02,-0.72,-0.05,11,0,3,3,3
2400,942,82,-4,975,95,-28,-12,-67,-17,174.38,84.13,98.13,0.69,0.02,-0.72,-0.05,11,0,3,3,3
2428,944,99,-10,975,95,-30,9,-49,-9,174.38,84.13,98.13,0.69,0.02,-0.72,-0.05,11,0,3,3,3
2456,927,92,-14,975,95,-31,25,-40,15,174.38,84.13,98.06,0.69,0.02,-0.72,-0.05,11,0,3,3,3
2483,907,112,-17,975,94,-32,42,-49,40,174.44,84.13,97.94,0.69,0.02,-0.72,-0.05,11,0,3,3,3
2509,932,101,-16,975,92,-34,8,-109,51,174.50,84.19,97.88,0.69,0.02,-0.72,-0.05,11,0,3,3,3
2538,947,104,-27,975,91,-37,34,-43,74,174.63,84.19,97.75,0.69,0.02,-0.72,-0.05,11,0,3,3,3
2570,902,120,-29,975,87,-38,17,-52,120,174.81,84.38,97.50,0.69,0.02,-0.72,-0.05,11,0,3,3,3
